id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
7.70565E+17,30603612,Yamileth,Pomona,34.0318556,-117.7779937,Private room,61,5,1,5,27,1
7.77452E+17,490709958,Dana,Castaic Canyons,34.43925,-118.44409,Private room,399,3,0,1,87,0
6.98098E+17,444692513,Hanna,Pomona,34.04848,-117.76887,Private room,46,3,5,4,87,5
13063118,41736985,Beth,Rancho Palos Verdes,33.73842,-118.3958,Private room,408,3,53,10,270,13
39337076,208375458,Jae,Rancho Palos Verdes,33.74842,-118.311,Private room,80,2,44,4,357,26
51859630,28407733,Arthur,San Pedro,33.73928,-118.29911,Private room,55,2,3,1,1,3
53192213,21266818,Fang,Diamond Bar,33.99764,-117.78979,Private room,60,7,12,2,90,9
32318222,242361385,Jenell,West Compton,33.90055,-118.26036,Private room,55,1,81,1,113,51
7.52085E+17,486200100,Billimarie,Northeast Antelope Valley,34.68979,-117.77503,Entire home/apt,129,1,1,1,355,1
54352139,193287876,Santos,West Carson,33.83587,-118.28795,Entire home/apt,107,1,72,1,323,62
2943450,114555,Annet,Lomita,33.78223,-118.31712,Entire home/apt,195,2,185,1,71,19
16246564,47427155,Amy,Whittier,33.984,-118.05205,Entire home/apt,125,4,187,2,57,25
5.72676E+17,10035468,Ella Homes,Norwalk,33.89942,-118.04855,Entire home/apt,405,2,35,22,151,35
52050389,421387455,Simon,Rolling Hills Estates,33.79169,-118.34688,Entire home/apt,395,3,26,1,189,15
25134201,38106741,James,Lancaster,34.681137,-118.08123,Private room,39,1,24,3,365,0
39450077,364730549,Ellen,Artesia,33.86314,-118.0753,Private room,39,31,41,3,338,3
15910220,88810222,Patrick,Lancaster,34.68917,-118.07447,Private room,199,3,1,3,168,0
6.99514E+17,408746164,Annie,Bellflower,33.90946,-118.12683,Entire home/apt,399,2,11,1,240,11
7.59306E+17,378859287,Cindy,La Puente,34.05063,-117.97162,Private room,52,1,3,12,2,3
6.50692E+17,10035468,Ella Homes,Gardena,33.8672903,-118.2920124,Entire home/apt,338,2,21,22,159,21
7.35596E+17,146677483,Xiong,Diamond Bar,34.02934,-117.80403,Private room,41,1,5,4,357,5
8.11125E+17,497669764,Teresa,Downey,33.9670908,-118.1222108,Entire home/apt,146,1,1,1,340,1
7.66121E+17,466062312,Tanya,Palmdale,34.5689,-118.03092,Private room,40,2,0,1,364,0
52555238,2220269,Dorothy,Southeast Antelope Valley,34.56249,-118.14463,Entire home/apt,145,10,2,12,81,1
47477926,13246041,Nathan,Whittier,34.0015,-118.04863,Entire home/apt,275,2,92,1,264,31
8.03783E+17,495931850,Jose Alfredo,Lynwood,33.93415993,-118.1904505,Private room,80,1,2,2,187,2
6.95043E+17,428190082,Giovanni,Santa Clarita,34.43195,-118.53264,Private room,86,5,2,1,83,2
31804411,101753163,Kevin,Walnut,34.0169,-117.84818,Entire home/apt,220,7,49,1,55,8
6.42624E+17,173896798,Krystal,Pomona,34.04165,-117.76781,Private room,86,29,0,1,365,0
51867241,257092364,Sunny,Walnut,34.02381,-117.85655,Entire home/apt,118,1,18,28,42,16
53325748,259327169,Kathy,Bellflower,33.88609,-118.11142,Entire home/apt,166,2,17,1,142,17
6.60885E+17,232146633,Moon,Palmdale,34.6301,-118.22954,Private room,38,1,5,3,279,5
7.7317E+17,475059650,Jacky,Carson,33.86058,-118.27544,Private room,54,1,2,3,357,2
22467090,83107409,Tatiana,West Carson,33.83575,-118.29453,Private room,57,2,49,1,305,6
7.81563E+17,20372910,Nima,San Fernando,34.28496,-118.44444,Entire home/apt,349,3,2,1,294,2
5.4569E+17,746983,Mary,Palos Verdes Estates,33.77886,-118.42098,Private room,100,30,0,3,365,0
8.34119E+17,2275772,Stephen,Acton,34.45717,-118.18377,Entire home/apt,270,1,0,1,363,0
7.5953E+17,487591249,Sarah,Palmdale,34.64033,-118.24919,Private room,155,2,0,1,119,0
6.83285E+17,234183518,Valeria,Quartz Hill,34.66704,-118.21731,Private room,80,1,0,5,365,0
6.51415E+17,267485780,James And Laura,Northeast Antelope Valley,34.72031,-118.02432,Entire home/apt,103,2,3,8,364,3
8.06671E+17,123481669,K.C.,Whittier,33.97685651,-118.0498514,Private room,148,1,1,1,49,1
8.36325E+17,448625080,Lauri,Stevenson Ranch,34.41372,-118.58211,Entire home/apt,318,29,0,3,364,0
